"QB","Overall","Player","Team","Bye","ESPN","Yahoo","MFL","Fantrax","FFC","Sleeper","AVG"
"1","2","Aaron Rodgers","NYJ","9","1","1","","","1","","1.0"
"2","5","Tom Brady","","","2","3","","","2","","2.2"
"3","6","Drew Brees","","","3","2","","","3","","2.8"
"4","10","Matthew Stafford","LAR","","4","5","","","4","","4.5"
"5","11","Cam Newton","","","5","4","","","5","","4.5"
"6","39","Michael Vick","","","7","6","","","7","","6.7"
"7","42","Eli Manning","","","6","7","","","8","","7.7"
"8","49","Peyton Manning","","","8","8","","","9","","8.8"
"9","50","Matt Ryan","","","11","11","","","6","","9.0"
"10","57","Philip Rivers","","","10","10","","","11","","9.5"
"11","55","Tony Romo","","","9","9","","","10","","9.7"
"12","74","Robert Griffin III","","","13","12","","","13","","12.0"
"13","82","Ben Roethlisberger","","","12","14","","","14","","13.5"
"14","87","Jay Cutler","","","15","13","","","12","","14.0"
"15","95","Matt Schaub","","","14","15","","","15","","14.7"
"16","105","Andrew Luck","","","16","16","","","16","","15.7"
"17","122","Joe Flacco","","","17","28","","","17","","19.3"
"18","127","Josh Freeman","","","19","26","","","22","","20.2"
"19","137","Carson Palmer","","","22","25","","","20","","20.3"
"20","131","Andy Dalton","CAR","6","20","23","","","21","","20.3"
"21","149","Alex Smith","","","18","17","","","24","","21.2"
"22","147","Russell Wilson","DEN","7","21","20","","","18","","22.0"
"23","153","Jake Locker","","","26","27","","","19","","23.0"
"24","157","Ryan Fitzpatrick","","","24","24","","","23","","23.2"
"25","171","Sam Bradford","","","23","21","","","25","","23.8"
"26","182","Tim Tebow","","","25","19","","","","","24.5"
"27","172","Mark Sanchez","","","","18","","","","","23.3"
"28","191","Matt Flynn","","","","22","","","","","25.7"
"29","222","Matt Cassel","","","27","","","","","","27.3"
"30","242","Christian Ponder","","","","","","","","","27.5"
"31","257","Ryan Tannehill","TEN","11","","","","","","","30.0"
""
""
